Category,File Name,Current Path,Current Size,Current Lines,Current Modified,Elson Path,Elson Size,Elson Lines,Elson Modified,Decision,Reason,Features Delta
Backend Models,__init__.py,backend/app/models/__init__.py,1059,43,2025-07-14T02:20:14,Elson-main/Elson/backend/app/models/__init__.py,543,8,2025-07-13T01:16:07,Keep Current,Current is newer and has expanded initialization logic,Current has 35 more lines of imports and initialization
Backend Models,account.py,backend/app/models/account.py,3350,105,2025-07-16T06:03:28,Elson-main/Elson/backend/app/models/account.py,3618,89,2025-07-13T01:16:07,Keep Current,Current is newer with more comprehensive structure,Current has simplified imports but more lines overall
Backend Models,portfolio.py,backend/app/models/portfolio.py,3246,99,2025-07-14T02:21:03,Elson-main/Elson/backend/app/models/portfolio.py,11273,285,2025-07-13T01:16:07,Merge Features,"Elson-main has 3x more features - sector exposure, daily loss limits, Position model","CRITICAL: Add get_sector_exposure(), daily_loss_limit_reached(), enhanced get_daily_drawdown()"
Backend Models,trade.py,backend/app/models/trade.py,7077,216,2025-07-16T06:01:50,Elson-main/Elson/backend/app/models/trade.py,5152,102,2025-07-13T01:16:07,Keep Current,Current has 2x more features and is much newer,Current has enhanced trade model with 114 more lines
Backend Models,user.py,backend/app/models/user.py,5053,158,2025-07-16T06:01:59,Elson-main/Elson/backend/app/models/user.py,7478,200,2025-07-13T01:16:07,Keep Current,"Current is newer, Elson-main has encryption features but current is simplified intentionally","Elson-main has JSONB and ARRAY fields, encrypted PII - evaluate if needed"
Backend Core,core/config.py,backend/app/core/config.py,2167,69,2025-07-16T04:12:37,Elson-main/Elson/backend/app/core/config.py,10875,309,2025-07-13T01:16:04,Merge Features,CRITICAL: Elson-main 5x larger with production-ready features,"CRITICAL: Add BrokerEnum, ApiProviderEnum, Redis Sentinel/Cluster, Vault/AWS secrets, fractional shares, educational mode, minor accounts"
Backend Core,core/secrets.py,backend/app/core/secrets.py,2265,79,2025-07-14T01:19:27,Elson-main/Elson/backend/app/core/secrets.py,9505,235,2025-07-13T01:16:04,Merge Features,CRITICAL: Elson-main 4x larger with Vault/AWS Secrets Manager integration,"CRITICAL: Add Vault client, AWS Secrets Manager, secret rotation, caching with TTL"
Backend Services,services/broker/factory.py,backend/app/services/broker/factory.py,6594,189,2025-07-14T01:19:39,Elson-main/Elson/backend/app/services/broker/factory.py,14804,340,2025-07-13T01:16:23,Merge Features,Elson-main 2.2x larger with broker health tracking and failover,"Add BrokerHealth tracking, automatic failover logic, health checks"
Backend Services,services/market_data_processor.py,backend/app/services/market_data_processor.py,11631,331,2025-07-14T01:19:42,Elson-main/Elson/backend/app/services/market_data_processor.py,38515,1022,2025-07-13T01:16:18,Merge Features,CRITICAL: Elson-main 3.3x larger with advanced processing algorithms,"Add advanced technical indicators, caching strategies, error handling improvements"
Backend Services,services/risk_management.py,backend/app/services/risk_management.py,37479,1020,2025-07-16T05:23:10,Elson-main/Elson/backend/app/services/risk_management.py,21074,508,2025-07-13T01:16:18,Keep Current,Current is 78% larger with recent enhancements,Current has significantly more risk management logic
Frontend Components,common/Sidebar.tsx,frontend/src/components/common/Sidebar.tsx,5711,93,2025-12-02T04:24:53,Elson-main/Elson/frontend/src/app/components/common/Sidebar.tsx,17928,385,2025-07-13T01:15:25,Merge Features,Elson-main 3.1x larger with comprehensive navigation,"Add full navigation menu, mobile responsiveness, user profile, settings, subscription status"
Frontend Components,common/Button.tsx,frontend/src/components/common/Button.tsx,2041,62,2025-07-13T23:58:51,Elson-main/Elson/frontend/src/app/components/common/Button.tsx,2843,76,2025-07-13T01:15:31,Keep Current,"Current is very recent (Dec 2), newer implementation",Minor differences in styling approach
